mission_ID,mission_name,location,objective
15,Crimson Dawn,Icheon-si,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
16,Ocean Whisper,Tombu,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
17,Tactical Ember,Đưc Trọng,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
18,Guardian Falcon,Oster,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
19,Desert Storm Recon,Cincinnati,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
20,Scorched Valley,San Antonio,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
21,Frost Shield,Mê Linh,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
22,Iron Dune,Fāryāb,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
23,Frost Shield,Portel,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
24,Border Blaze,Murcia,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
25,Midnight Warden,Jajarkrajan,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
26,Echo Hammer,Cimanglid,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
27,Iron Dune,Baláo,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
28,Red Dusk Sweep,Kavásilas,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
29,Desert Storm Recon,Hevlín,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
30,Blackout Dawn,Petrov,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
31,Operation Dark Horizon,Yanai,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
32,Arctic Lance,Fukuma,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
33,Scorpion Trail,Moratuwa,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
34,Shadow Echo,Sabá,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
35,Silver Arrow,Brzeźnica,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
36,Operation Lightning Watch,Circasia,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
37,Border Blaze,Maple Plain,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
38,Falcon Strike,Dykan’ka,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
39,Operation Rapid Ember,Batarasa,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
40,Operation Iron Shield,Néa Smýrni,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
41,Desert Phantom,Perelhal,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
42,Silver Arrow,Inashiki,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
43,Operation Lightning Watch,Mino,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
44,Arctic Lance,Drachten,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
45,Operation Lightning Watch,Bylym,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
46,Spectral Path,Terpinnya,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
47,Crimson Dawn,Phra Pradaeng,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
48,Scorched Valley,Bratsk,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
49,Operation Northern Watch,Dingle,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
50,Desert Storm Recon,Dongjin,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
51,Operation Rapid Ember,Gorzów Wielkopolski,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
52,Operation Winter Watch,Levoberezhnaya,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
53,Red Dusk Sweep,Xike,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
54,Horizon Spear,Lau,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
55,Operation Shadow Lance,Suifenhe,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
56,Stormclaw Sweep,Kusheriki,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
57,Iron Ridge Patrol,Kaffrine,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
58,Mountain Sentinel,Velestíno,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
59,Operation Winter Watch,Xaçmaz,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
60,Arctic Lance,Otllak,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
61,Operation Rapid Ember,Kinmparana,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
62,Crimson Dawn,Sendafa,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
63,Border Blaze,Lian,Sed ante. Vivamus tortor. Duis mattis egestas metus.
64,Operation Winter Watch,Marne-la-Vallée,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
65,Border Blaze,Sagbayan,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
66,Silver Arrow,Beibao,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
67,Shadow Echo,Manwakh,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
68,Spectral Path,Jawand,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
69,Shadow Echo,Zhongyuan,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
70,Frost Shield,Skole,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
71,Mountain Sentinel,Fuyu,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
72,Falcon Strike,Miandrivazo,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
73,Operation Thunder Veil,Mobile,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
74,Operation Winter Watch,Örnsköldsvik,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
75,Scorched Valley,Khorlovo,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
76,Operation Skyward,Sviadnov,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
77,Scorpion Trail,Sambirata,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
78,Fireline Barrier,Youxi,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
79,Desert Storm Recon,El Espino,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
80,Iron Dune,Panjgūr,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
81,Operation Steel Vortex,Ludbreg,Sed ante. Vivamus tortor. Duis mattis egestas metus.
82,Iron Dune,Chahār Burj,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
83,Frost Shield,Mankono,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
84,Midnight Warden,Nysa,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
85,Mountain Sentinel,Chilecito,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
86,Scorched Valley,Strängnäs,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
87,Operation Skyward,Hanover,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
88,Frost Shield,Rosario de Lerma,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
89,Echo Hammer,Battambang,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
90,Operation Winter Watch,Novouzensk,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
91,Crystal Net,Baiyun,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
92,Black Sand Recon,Nowosielce-Gniewosz,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
93,Coastal Guard,Tymbark,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
94,Operation Rapid Ember,Xingong,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
95,Operation Steel Vortex,Lyamino,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
96,Operation Thunder Veil,Penhold,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
97,Operation Shadow Lance,Sölvesborg,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
98,Crystal Net,Baini,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
99,Operation Winter Watch,Nusajaya,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
100,Crimson Dawn,Dolno Palčište,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
101,Red Dusk Sweep,Kostyantynivka,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
102,Red Dusk Sweep,Icó,Phasellus in felis. Donec semper sapien a libero. Nam dui.
103,Operation Winter Watch,Quesada,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
104,Crimson Dawn,Laguna,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
105,Silent Reef,Castilla,Fusce consequat. Nulla nisl. Nunc nisl.
106,Arctic Lance,Langgen,Phasellus in felis. Donec semper sapien a libero. Nam dui.
107,Echo Hammer,Ambositra,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
108,Operation Lightning Watch,Leština,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
109,Ocean Whisper,Passal,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
110,Fireline Barrier,Abū Ghaush,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
111,Mountain Sentinel,Pirapozinho,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
112,Silver Arrow,Smolenka,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
113,Frost Shield,Shuikou,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
114,Operation Rapid Ember,Lavezares,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
115,Silver Arrow,Kalipucang,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
116,Crimson Dawn,Dagup,Sed ante. Vivamus tortor. Duis mattis egestas metus.
117,Operation Thunder Veil,Jaraguá do Sul,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
118,Operation Iron Shield,Padej,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
119,Falcon Strike,Lamotrek,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
120,Red Dusk Sweep,Ko Pha Ngan,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
121,Tactical Ember,Noisy-le-Grand,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
122,Deep Veil Mission,Addiet Canna,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
123,Operation Iron Pulse,Millerovo,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
124,Blizzard Mantle,Qesarya,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
125,Ocean Whisper,Somerset East,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
126,Deep Veil Mission,Sande São Martinho,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
127,Shadow Echo,Kinnula,Phasellus in felis. Donec semper sapien a libero. Nam dui.
128,Operation Thunder Veil,Kototujuh,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
129,Crimson Dawn,Sanhe,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
130,Crystal Net,Ganting,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
131,Iron Ridge Patrol,Pondohan,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
132,Operation Winter Watch,Áno Liósia,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
133,Operation Northern Watch,Likhobory,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
134,Operation Iron Pulse,Utrecht,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
135,Operation Lightning Watch,Hulan,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
136,Spectral Path,Sandweiler,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
137,Midnight Warden,Hato Mayor del Rey,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
138,Shadow Echo,Xibin,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
139,Stormclaw Sweep,Nikolayevskaya,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
140,Urban Talon,Hengshan,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
141,Crimson Viper,Velká Polom,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
142,Arctic Lance,Mbouda,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
143,Stormclaw Sweep,Qingshi,In congue. Etiam justo. Etiam pretium iaculis justo.
144,Silent Dagger,Crateús,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
145,Red Dusk Sweep,Yekimovichi,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
146,Operation Steel Vortex,Ribeirão das Neves,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
147,Horizon Spear,Luján de Cuyo,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
148,Operation Iron Shield,Nevesinje,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
149,Iron Ridge Patrol,Belo Jardim,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
150,Operation Iron Pulse,Ribeirão Pires,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
151,Desert Phantom,Pacatuba,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
152,Shadow Echo,Hovorany,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
153,Iron Dune,Golema Rečica,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
154,Operation Iron Pulse,Krasnoye,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
155,Operation Northern Watch,Donghui,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
156,Operation Lightning Watch,Kriel,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
157,Spectral Path,Guanhães,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
158,Blizzard Mantle,Hualong,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
159,Operation Night Pulse,Tanagara,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
160,Stormfront Patrol,Raposeira,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
161,Scorched Valley,Kourou,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
162,Crimson Dawn,Santo Antônio do Amparo,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
163,Black Sand Recon,Mezinovskiy,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
164,Operation Skyward,Zhuoshui,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
165,Operation Sand Mirage,Resplendor,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
166,Black Sand Recon,Benešov nad Ploučnicí,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
167,Operation Rapid Ember,Don Tan,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
168,Operation Shadow Lance,Xigangzi,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
169,Black Sand Recon,La Unión,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
170,Red Dusk Sweep,Calceta,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
171,Guardian Falcon,Donskoy,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
172,Operation Lightning Watch,Río Ceballos,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
173,Crimson Viper,Ābdānān,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
174,Frost Shield,Na Yung,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
175,Crimson Viper,Pereira,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
176,Urban Talon,Tari,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
177,Tactical Ember,Arani,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
